OBJECTID,tmc,speed_limit
1,129P09938,25
2,129+09938,30
3,129P09937,30
4,129+09937,35
5,129+09936,25
6,129+09939,25
7,129P09934,25
8,129+09941,30
9,129P09940,30
10,129+09935,35
11,129P09941,30
12,129P09939,30
13,129+09940,30
14,129P09945,30
15,129+09942,30
16,129+09944,30
17,129+09943,30
18,129+09945,30
19,129N08515,30
20,129N09934,35
21,129-09935,35
22,129-09940,30
23,129-09943,30
24,129N09937,30
25,129-09941,30
26,129-09944,30
27,129-09938,25
28,129-09939,30
29,129N09941,30
30,129N09938,25
31,129N09939,35
32,129-09937,30
33,129-09936,30
34,129N09940,30
35,129-09934,35
36,129-09942,30
37,129+08593,30
38,129+08590,30
39,129+08771,30
40,129+08591,30
41,129+08596,30
42,129+08587,30
43,129P08586,25
44,129+08594,30
45,129+08592,30
46,129+08595,20
47,129P08588,30
48,129P08593,30
49,129P08771,25
50,129P08595,20
51,129+08588,30
52,129+08589,30
53,129P08596,30
54,129-08591,30
55,129-08588,30
56,129-08592,30
57,129N08588,30
58,129-08587,30
59,129-08770,30
60,129-08593,30
61,129-08596,30
62,129-08590,30
63,129-08594,30
64,129N08586,25
65,129N08771,25
66,129N08593,30
67,129N08596,30
68,129N08595,20
69,129-08589,30
70,129-08586,30
71,129-08459,35
72,129+50391,30
73,129-08457,30
74,129-08444,30
75,129N08459,30
76,129-08499,30
77,129-08447,30
78,129+50392,30
79,129+50387,30
80,129N08443,30
81,129-08453,30
82,129N08446,30
83,129-08456,30
84,129P50386,30
85,129N08462,25
86,129N08461,25
87,129N08450,30
88,129+50390,30
89,129-08448,30
90,129N08454,30
91,129N08499,30
92,129-08445,30
93,129+50393,30
94,129-08455,30
95,129-08458,35
96,129-08446,30
97,129-08454,30
98,129N08444,30
99,129P50389,30
100,129N08500,30
101,129-08449,30
102,129P50393,30
103,129N08447,30
104,129-08450,30
105,129-08451,30
106,129N08448,30
107,129N08449,30
108,129N08455,30
109,129-08460,30
110,129-08461,35
111,129P50387,30
112,129-08443,30
113,129+08444,30
114,129+08455,30
115,129+08452,30
116,129+08450,30
117,129P08448,30
118,129P08443,30
119,129P08459,30
120,129+08460,35
121,129+08445,30
122,129+08454,30
123,129+08451,30
124,129+08446,30
125,129+08457,30
126,129+08462,35
127,129+08448,30
128,129+08459,30
129,129+08447,30
130,129P08447,30
131,129P08452,30
132,129P08462,25
133,129P08446,30
134,129+08458,30
135,129P08444,30
136,129P08455,30
137,129+08456,30
138,129+08453,30
139,129+08461,30
140,129P08461,25
141,129P08449,30
142,129+08449,30
143,129P08450,30
144,129P08454,30
145,129P10411,35
146,129P10092,35
147,129+10093,35
148,129+10411,35
149,129P10093,35
150,129+10094,35
151,129+10410,30
152,129+10095,35
153,129P10409,30
154,129N10093,35
155,129N10092,35
156,129N10411,35
157,129-10094,35
158,129-10409,30
159,129N10409,30
160,129-10092,35
161,129-10410,35
162,129-10093,35
163,129P09055,30
164,129+09050,30
165,129P09053,30
166,129+09056,30
167,129P09056,30
168,129+09054,30
169,129+09047,30
170,129+09055,30
171,129+09049,55
172,129+09046,30
173,129P09048,20
174,129P09045,30
175,129+09048,30
176,129+09053,35
177,129+09051,30
178,129P09050,30
179,129+09052,30
180,129-09052,35
181,129-09050,30
182,129-09053,30
183,129N09056,30
184,129N09048,20
185,129-09048,55
186,129-09054,30
187,129N09050,30
188,129N09055,30
189,129-09049,30
190,129-09051,30
191,129-09046,30
192,129-09047,30
193,129-09055,30
194,129N09045,30
195,129-09045,30
196,129+05319,35
197,129+05315,45
198,129P05318,40
199,129P05315,25
200,129+05317,40
201,129+05316,40
202,129+05324,30
203,129P08405,35
204,129P05322,45
205,129P05320,25
206,129+05322,35
207,129P05323,30
208,129P05324,35
209,129+05321,35
210,129+08406,35
211,129+08405,35
212,129+05320,35
213,129P05316,40
214,129+05318,40
215,129P05319,35
216,129+05323,35
217,129N05318,40
218,129N05322,45
219,129N05323,30
220,129-08405,35
221,129-05323,30
222,129-05321,35
223,129-05324,35
224,129-05314,45
225,129-05317,40
226,129-05320,35
227,129-05319,35
228,129-05316,40
229,129N05319,35
230,129N05316,40
231,129-05322,35
232,129N05324,35
233,129N08405,35
234,129-05315,40
235,129-05318,35
236,129N05320,25
237,129N05315,25
238,129N05796,40
239,129-05794,30
240,129-06332,45
241,129-10250,30
242,129N06331,40
243,129N06330,30
244,129N10249,30
245,129N05795,35
246,129-06331,40
247,129-06330,30
248,129-05795,40
249,129N05794,30
250,129-05796,40
251,129-10248,30
252,129N10248,30
253,129-10249,30
254,129-05793,30
255,129+05794,30
256,129+05795,30
257,129P05795,35
258,129P06330,30
259,129P10248,30
260,129P05796,40
261,129+05793,30
262,129+06333,45
263,129P06331,40
264,129P05794,30
265,129+10250,30
266,129+06331,40
267,129+10249,30
268,129+06330,30
269,129+06332,40
270,129P10249,30
271,129+05796,40
272,129+11336,30
273,129+11333,25
274,129+11335,40
275,129+11334,30
276,129P11333,15
277,129+11337,35
278,129P11338,45
279,129+11332,45
280,129P11337,35
281,129+11338,45
282,129N11337,20
283,129-11336,35
284,129-11334,40
285,129-11333,30
286,129-11332,35
287,129-11337,45
288,129-11331,45
289,129-11335,30
290,129N11338,45
291,129N11333,15
292,129+07634,45
293,129+09030,40
294,129+09020,40
295,129+09031,30
296,129+09023,35
297,129+07636,50
298,129P09022,20
299,129P09031,30
300,129+09021,35
301,129+07633,45
302,129+07635,30
303,129P09032,30
304,129+09026,30
305,129+09025,40
306,129+09551,45
307,129P09027,35
308,129+09029,40
309,129+09028,30
310,129+09022,35
311,129P07635,40
312,129+09032,30
313,129P09021,35
314,129+09019,40
315,129+09027,35
316,129P09025,35
317,129+09024,35
318,129N07635,40
319,129-09030,30
320,129-09022,35
321,129-09021,35
322,129N09021,35
323,129-09028,40
324,129-09026,35
325,129-09024,40
326,129-09020,35
327,129N09027,35
328,129N09022,20
329,129N09025,40
330,129-09551,40
331,129-09029,40
332,129-07636,45
333,129-07633,45
334,129N09031,30
335,129-07635,50
336,129-09027,30
337,129-09019,40
338,129-07634,30
339,129N09032,30
340,129-09023,35
341,129-09025,30
342,129-07632,45
343,129-09031,30
344,129-05825,35
345,129N05825,45
346,129-06337,45
347,129+05825,45
348,129+06338,35
349,129P05825,45
350,129+08162,30
351,129+08166,40
352,129P08170,35
353,129+08170,40
354,129+08165,40
355,129+08161,40
356,129+08167,45
357,129+08169,25
358,129P08163,35
359,129+08164,35
360,129+08163,20
361,129+08168,40
362,129P08164,35
363,129N08164,35
364,129-08163,35
365,129-08167,40
366,129-08166,45
367,129-08165,40
368,129-08169,40
369,129-08160,40
370,129-08162,30
371,129-08168,25
372,129-08161,30
373,129-08164,40
374,129N08163,35
375,129N08170,35
376,129+06375,40
377,129P05642,25
378,129+06368,45
379,129P06371,35
380,129+06366,45
381,129P05647,45
382,129P15450,30
383,129+06369,40
384,129+06371,35
385,129P05652,25
386,129+05644,40
387,129+05647,45
388,129+05642,35
389,129+05645,45
390,129+05654,30
391,129+06367,35
392,129+06365,35
393,129+05649,30
394,129+06372,35
395,129+05655,25
396,129P06374,40
397,129+05643,25
398,129P05655,35
399,129+05648,35
400,129P06372,20
401,129+05650,30
402,129P06370,35
403,129P05641,30
404,129+05652,25
405,129P05643,40
406,129P05649,35
407,129+06370,40
408,129+06373,35
409,129+05651,35
410,129+05646,35
411,129+06374,40
412,129+05641,30
413,129+05653,35
414,129P05645,35
415,129N05641,30
416,129N05642,25
417,129-06373,25
418,129N05655,35
419,129-05652,40
420,129-06366,25
421,129-05642,45
422,129-05653,30
423,129-06368,45
424,129N05649,35
425,129N05643,40
426,129-06371,35
427,129-05645,40
428,129-05650,35
429,129-05643,35
430,129-06370,45
431,129-05648,30
432,129N06371,35
433,129N06374,40
434,129-05646,40
435,129N06372,20
436,129-06374,35
437,129-15450,30
438,129N06370,35
439,129-05641,35
440,129-06375,25
441,129-05651,35
442,129-06367,40
443,129-05649,35
444,129N15450,30
445,129-06369,35
446,129N05652,25
447,129-06372,30
448,129N05645,35
449,129-05644,45
450,129-05647,35
451,129-05654,40
452,129-06365,35
453,129N05647,45
454,129N08773,40
455,129N08760,25
456,129-08774,40
457,129-08763,30
458,129-08761,30
459,129-08759,25
460,129-08772,35
461,129-08762,30
462,129-08766,50
463,129-08767,30
464,129N08768,30
465,129-15989,30
466,129-08776,35
467,129N08758,30
468,129N08759,20
469,129-08764,35
470,129N08767,25
471,129-08775,35
472,129-08769,30
473,129-08765,30
474,129-08758,30
475,129-08773,40
476,129N08764,30
477,129N08765,25
478,129N08766,25
479,129-08768,35
480,129-08771,35
481,129+08772,35
482,129+08767,50
483,129+08776,35
484,129P08760,25
485,129+08770,30
486,129+08760,25
487,129P08773,40
488,129P08759,20
489,129+08768,30
490,129P08766,25
491,129+08762,30
492,129+08775,40
493,129+08773,35
494,129+08763,30
495,129+08774,45
496,129+08769,35
497,129+08764,30
498,129P08768,30
499,129P08764,30
500,129+08765,35
501,129+08761,30
502,129P08767,25
503,129P08765,25
504,129+08759,30
505,129+08766,30
506,129+08777,35
507,129P08758,30
508,129-09896,30
509,129-09909,40
510,129N09909,35
511,129N10237,40
512,129-09899,30
513,129-09900,45
514,129-09901,40
515,129N09895,40
516,129-09904,25
517,129-09906,35
518,129-09897,35
519,129-09905,35
520,129-09902,35
521,129-09908,40
522,129N09900,30
523,129-09898,30
524,129N09899,35
525,129-09907,40
526,129-09895,40
527,129-09903,40
528,129+09899,30
529,129+09906,35
530,129P09899,35
531,129+09904,40
532,129+09905,25
533,129+09903,35
534,129+09902,40
535,129+09896,40
536,129P10237,40
537,129+09908,40
538,129P09895,40
539,129+09898,35
540,129P09909,35
541,129P09900,30
542,129+09910,40
543,129+09900,30
544,129+09901,45
545,129+09907,35
546,129+09909,40
547,129+09897,30
548,129+05537,45
549,129+05540,45
550,129+05534,25
551,129+05541,45
552,129+05533,45
553,129+06345,35
554,129+05538,45
555,129+05536,35
556,129+05535,40
557,129P05539,45
558,129+05539,45
559,129P05541,25
560,129P05538,40
561,129P10164,25
562,129-05537,45
563,129-05539,45
564,129N05541,20
565,129-05532,45
566,129-05535,35
567,129N05539,45
568,129-06345,45
569,129-05536,45
570,129N05538,40
571,129-05533,25
572,129-05540,35
573,129-05534,40
574,129-05538,45
575,129-08115,35
576,129-08119,35
577,129N08122,35
578,129-08112,30
579,129-08117,45
580,129-08121,45
581,129-08114,30
582,129N08116,35
583,129N08120,30
584,129N08115,35
585,129N08114,35
586,129-08116,45
587,129-08118,45
588,129-08124,30
589,129-08120,45
590,129-08123,30
591,129-08125,25
592,129-08113,40
593,129N08118,40
594,129-08122,35
595,129+08114,40
596,129+08117,45
597,129+08120,35
598,129+08116,30
599,129+08118,45
600,129+08123,35
601,129+08119,45
602,129+08121,45
603,129P08116,35
604,129+08126,25
605,129+08113,30
606,129+08122,45
607,129P08122,35
608,129P08114,35
609,129P08115,35
610,129P08118,40
611,129+08124,30
612,129+08125,30
613,129P08120,30
614,129+08115,30
615,129N05659,40
616,129N08131,30
617,129-08129,35
618,129-05659,40
619,129-05658,30
620,129N05656,25
621,129-05657,30
622,129-05656,35
623,129-08130,30
624,129-08127,45
625,129-08128,40
626,129+08131,30
627,129+05657,35
628,129+08130,35
629,129+08129,40
630,129+08128,45
631,129+05659,30
632,129P08131,30
633,129+05656,40
634,129P05659,40
635,129+05658,30
636,129P05656,25
637,129-05603,30
638,129-06326,30
639,129-05597,35
640,129-05605,30
641,129-05602,40
642,129N05608,25
643,129-05610,40
644,129-05611,40
645,129-06324,40
646,129-05595,55
647,129-05609,40
648,129-05606,30
649,129N05595,55
650,129-05600,40
651,129N05607,45
652,129-05601,40
653,129-06325,45
654,129-05599,45
655,129-06327,45
656,129-05596,40
657,129-05604,45
658,129-05608,40
659,129N05597,20
660,129N05601,40
661,129-05598,45
662,129-05594,55
663,129-05607,45
664,129+06325,40
665,129+06327,40
666,129+05608,45
667,129+05604,40
668,129P05607,30
669,129+05605,40
670,129+05596,55
671,129P05608,25
672,129+05598,35
673,129+05597,30
674,129+05610,40
675,129+05599,45
676,129+05600,45
677,129+05607,30
678,129P05601,45
679,129P05595,55
680,129+05612,40
681,129+05606,40
682,129+05595,45
683,129+05602,45
684,129+05601,45
685,129+05609,40
686,129+05603,40
687,129+05611,30
