tmc,speed_limit
129P09938,25
129+09938,30
129P09937,30
129+09937,35
129+09936,25
129+09939,25
129P09934,25
129+09941,30
129P09940,30
129+09935,35
129P09941,30
129P09939,30
129+09940,30
129P09945,30
129+09942,30
129+09944,30
129+09943,30
129+09945,30
129N08515,30
129N09934,35
129-09935,35
129-09940,30
129-09943,30
129N09937,30
129-09941,30
129-09944,30
129-09938,25
129-09939,30
129N09941,30
129N09938,25
129N09939,35
129-09937,30
129-09936,30
129N09940,30
129-09934,35
129-09942,30
129+08593,30
129+08590,30
129+08771,30
129+08591,30
129+08596,30
129+08587,30
129P08586,25
129+08594,30
129+08592,30
129+08595,20
129P08588,30
129P08593,30
129P08771,25
129P08595,20
129+08588,30
129+08589,30
129P08596,30
129-08591,30
129-08588,30
129-08592,30
129N08588,30
129-08587,30
129-08770,30
129-08593,30
129-08596,30
129-08590,30
129-08594,30
129N08586,25
129N08771,25
129N08593,30
129N08596,30
129N08595,20
129-08589,30
129-08586,30
129-08459,35
129+50391,30
129-08457,30
129-08444,30
129N08459,30
129-08499,30
129-08447,30
129+50392,30
129+50387,30
129N08443,30
129-08453,30
129N08446,30
129-08456,30
129P50386,30
129N08462,25
129N08461,25
129N08450,30
129+50390,30
129-08448,30
129N08454,30
129N08499,30
129-08445,30
129+50393,30
129-08455,30
129-08458,35
129-08446,30
129-08454,30
129N08444,30
129P50389,30
129N08500,30
129-08449,30
129P50393,30
129N08447,30
129-08450,30
129-08451,30
129N08448,30
129N08449,30
129N08455,30
129-08460,30
129-08461,35
129P50387,30
129-08443,30
129+08444,30
129+08455,30
129+08452,30
129+08450,30
129P08448,30
129P08443,30
129P08459,30
129+08460,35
129+08445,30
129+08454,30
129+08451,30
129+08446,30
129+08457,30
129+08462,35
129+08448,30
129+08459,30
129+08447,30
129P08447,30
129P08452,30
129P08462,25
129P08446,30
129+08458,30
129P08444,30
129P08455,30
129+08456,30
129+08453,30
129+08461,30
129P08461,25
129P08449,30
129+08449,30
129P08450,30
129P08454,30
129P10411,35
129P10092,35
129+10093,35
129+10411,35
129P10093,35
129+10094,35
129+10410,30
129+10095,35
129P10409,30
129N10093,35
129N10092,35
129N10411,35
129-10094,35
129-10409,30
129N10409,30
129-10092,35
129-10410,35
129-10093,35
129P09055,30
129+09050,30
129P09053,30
129+09056,30
129P09056,30
129+09054,30
129+09047,30
129+09055,30
129+09049,55
129+09046,30
129P09048,20
129P09045,30
129+09048,30
129+09053,35
129+09051,30
129P09050,30
129+09052,30
129-09052,35
129-09050,30
129-09053,30
129N09056,30
129N09048,20
129-09048,55
129-09054,30
129N09050,30
129N09055,30
129-09049,30
129-09051,30
129-09046,30
129-09047,30
129-09055,30
129N09045,30
129-09045,30
129+05319,35
129+05315,45
129P05318,40
129P05315,25
129+05317,40
129+05316,40
129+05324,30
129P08405,35
129P05322,45
129P05320,25
129+05322,35
129P05323,30
129P05324,35
129+05321,35
129+08406,35
129+08405,35
129+05320,35
129P05316,40
129+05318,40
129P05319,35
129+05323,35
129N05318,40
129N05322,45
129N05323,30
129-08405,35
129-05323,30
129-05321,35
129-05324,35
129-05314,45
129-05317,40
129-05320,35
129-05319,35
129-05316,40
129N05319,35
129N05316,40
129-05322,35
129N05324,35
129N08405,35
129-05315,40
129-05318,35
129N05320,25
129N05315,25
129N05796,40
129-05794,30
129-06332,45
129-10250,30
129N06331,40
129N06330,30
129N10249,30
129N05795,35
129-06331,40
129-06330,30
129-05795,40
129N05794,30
129-05796,40
129-10248,30
129N10248,30
129-10249,30
129-05793,30
129+05794,30
129+05795,30
129P05795,35
129P06330,30
129P10248,30
129P05796,40
129+05793,30
129+06333,45
129P06331,40
129P05794,30
129+10250,30
129+06331,40
129+10249,30
129+06330,30
129+06332,40
129P10249,30
129+05796,40
129+11336,30
129+11333,25
129+11335,40
129+11334,30
129P11333,15
129+11337,35
129P11338,45
129+11332,45
129P11337,35
129+11338,45
129N11337,20
129-11336,35
129-11334,40
129-11333,30
129-11332,35
129-11337,45
129-11331,45
129-11335,30
129N11338,45
129N11333,15
129+07634,45
129+09030,40
129+09020,40
129+09031,30
129+09023,35
129+07636,50
129P09022,20
129P09031,30
129+09021,35
129+07633,45
129+07635,30
129P09032,30
129+09026,30
129+09025,40
129+09551,45
129P09027,35
129+09029,40
129+09028,30
129+09022,35
129P07635,40
129+09032,30
129P09021,35
129+09019,40
129+09027,35
129P09025,35
129+09024,35
129N07635,40
129-09030,30
129-09022,35
129-09021,35
129N09021,35
129-09028,40
129-09026,35
129-09024,40
129-09020,35
129N09027,35
129N09022,20
129N09025,40
129-09551,40
129-09029,40
129-07636,45
129-07633,45
129N09031,30
129-07635,50
129-09027,30
129-09019,40
129-07634,30
129N09032,30
129-09023,35
129-09025,30
129-07632,45
129-09031,30
129-05825,35
129N05825,45
129-06337,45
129+05825,45
129+06338,35
129P05825,45
129+08162,30
129+08166,40
129P08170,35
129+08170,40
129+08165,40
129+08161,40
129+08167,45
129+08169,25
129P08163,35
129+08164,35
129+08163,20
129+08168,40
129P08164,35
129N08164,35
129-08163,35
129-08167,40
129-08166,45
129-08165,40
129-08169,40
129-08160,40
129-08162,30
129-08168,25
129-08161,30
129-08164,40
129N08163,35
129N08170,35
129+06375,40
129P05642,25
129+06368,45
129P06371,35
129+06366,45
129P05647,45
129P15450,30
129+06369,40
129+06371,35
129P05652,25
129+05644,40
129+05647,45
129+05642,35
129+05645,45
129+05654,30
129+06367,35
129+06365,35
129+05649,30
129+06372,35
129+05655,25
129P06374,40
129+05643,25
129P05655,35
129+05648,35
129P06372,20
129+05650,30
129P06370,35
129P05641,30
129+05652,25
129P05643,40
129P05649,35
129+06370,40
129+06373,35
129+05651,35
129+05646,35
129+06374,40
129+05641,30
129+05653,35
129P05645,35
129N05641,30
129N05642,25
129-06373,25
129N05655,35
129-05652,40
129-06366,25
129-05642,45
129-05653,30
129-06368,45
129N05649,35
129N05643,40
129-06371,35
129-05645,40
129-05650,35
129-05643,35
129-06370,45
129-05648,30
129N06371,35
129N06374,40
129-05646,40
129N06372,20
129-06374,35
129-15450,30
129N06370,35
129-05641,35
129-06375,25
129-05651,35
129-06367,40
129-05649,35
129N15450,30
129-06369,35
129N05652,25
129-06372,30
129N05645,35
129-05644,45
129-05647,35
129-05654,40
129-06365,35
129N05647,45
129N08773,40
129N08760,25
129-08774,40
129-08763,30
129-08761,30
129-08759,25
129-08772,35
129-08762,30
129-08766,50
129-08767,30
129N08768,30
129-15989,30
129-08776,35
129N08758,30
129N08759,20
129-08764,35
129N08767,25
129-08775,35
129-08769,30
129-08765,30
129-08758,30
129-08773,40
129N08764,30
129N08765,25
129N08766,25
129-08768,35
129-08771,35
129+08772,35
129+08767,50
129+08776,35
129P08760,25
129+08770,30
129+08760,25
129P08773,40
129P08759,20
129+08768,30
129P08766,25
129+08762,30
129+08775,40
129+08773,35
129+08763,30
129+08774,45
129+08769,35
129+08764,30
129P08768,30
129P08764,30
129+08765,35
129+08761,30
129P08767,25
129P08765,25
129+08759,30
129+08766,30
129+08777,35
129P08758,30
129-09896,30
129-09909,40
129N09909,35
129N10237,40
129-09899,30
129-09900,45
129-09901,40
129N09895,40
129-09904,25
129-09906,35
129-09897,35
129-09905,35
129-09902,35
129-09908,40
129N09900,30
129-09898,30
129N09899,35
129-09907,40
129-09895,40
129-09903,40
129+09899,30
129+09906,35
129P09899,35
129+09904,40
129+09905,25
129+09903,35
129+09902,40
129+09896,40
129P10237,40
129+09908,40
129P09895,40
129+09898,35
129P09909,35
129P09900,30
129+09910,40
129+09900,30
129+09901,45
129+09907,35
129+09909,40
129+09897,30
129+05537,45
129+05540,45
129+05534,25
129+05541,45
129+05533,45
129+06345,35
129+05538,45
129+05536,35
129+05535,40
129P05539,45
129+05539,45
129P05541,25
129P05538,40
129P10164,25
129-05537,45
129-05539,45
129N05541,20
129-05532,45
129-05535,35
129N05539,45
129-06345,45
129-05536,45
129N05538,40
129-05533,25
129-05540,35
129-05534,40
129-05538,45
129-08115,35
129-08119,35
129N08122,35
129-08112,30
129-08117,45
129-08121,45
129-08114,30
129N08116,35
129N08120,30
129N08115,35
129N08114,35
129-08116,45
129-08118,45
129-08124,30
129-08120,45
129-08123,30
129-08125,25
129-08113,40
129N08118,40
129-08122,35
129+08114,40
129+08117,45
129+08120,35
129+08116,30
129+08118,45
129+08123,35
129+08119,45
129+08121,45
129P08116,35
129+08126,25
129+08113,30
129+08122,45
129P08122,35
129P08114,35
129P08115,35
129P08118,40
129+08124,30
129+08125,30
129P08120,30
129+08115,30
129N05659,40
129N08131,30
129-08129,35
129-05659,40
129-05658,30
129N05656,25
129-05657,30
129-05656,35
129-08130,30
129-08127,45
129-08128,40
129+08131,30
129+05657,35
129+08130,35
129+08129,40
129+08128,45
129+05659,30
129P08131,30
129+05656,40
129P05659,40
129+05658,30
129P05656,25
129-05603,30
129-06326,30
129-05597,35
129-05605,30
129-05602,40
129N05608,25
129-05610,40
129-05611,40
129-06324,40
129-05595,55
129-05609,40
129-05606,30
129N05595,55
129-05600,40
129N05607,45
129-05601,40
129-06325,45
129-05599,45
129-06327,45
129-05596,40
129-05604,45
129-05608,40
129N05597,20
129N05601,40
129-05598,45
129-05594,55
129-05607,45
129+06325,40
129+06327,40
129+05608,45
129+05604,40
129P05607,30
129+05605,40
129+05596,55
129P05608,25
129+05598,35
129+05597,30
129+05610,40
129+05599,45
129+05600,45
129+05607,30
129P05601,45
